地域	空港（ラウンジ設置先）	URL
アフリカ	ポートエリザベス国際空港(Port Elizabeth Intl)	https://www.prioritypass.com/ja/lounges/south-africa/port-elizabeth
アフリカ	ポワントノワール・アントニオ・アゴスティーニョ・ネト国際空港(Pointe-Noire Antonio Agostinho-Neto Intl)	https://www.prioritypass.com/ja/lounges/republic-of-congo/pointe-noire-antonio-agostinho-neto-intl
アフリカ	マウン国際空港(Maun International)	https://www.prioritypass.com/ja/lounges/botswana/maun-international
アフリカ	マプト国際空港(Maputo International)	https://www.prioritypass.com/ja/lounges/mozambique/maputo-international
アフリカ	マルサ・アラム国際空港(Marsa Alam Intl)	https://www.prioritypass.com/ja/lounges/egypt/marsa-alam-intl
アフリカ	モーリシャス・サー・シウサガル・ラングーラム国際空港(Mauritius S.S.R. International)	https://www.prioritypass.com/ja/lounges/mauritius/mauritius-ssr-international
アフリカ	モナスティル・ハビブ・ブルギバ国際空港(Monastir Habib Bourguiba Intl)	https://www.prioritypass.com/ja/lounges/tunisia/mir
アフリカ	モンバサ・モワ国際空港(Mombasa Moi International)	https://www.prioritypass.com/ja/lounges/kenya/mombasa-moi-international
アフリカ	ヨハネスブルグ・O・R・タンボ国際空港 (Johannesburg O.R. Tambo Intl)	https://www.prioritypass.com/ja/lounges/south-africa/johannesburg-or-tambo-intl
アフリカ	ヨハネスブルグ・ランセリア国際空港(Johannesburg Lanseria International)	https://www.prioritypass.com/ja/lounges/south-africa/johannesburg-lanseria-international
アフリカ	ラゴス・ムルタラ・モハンマド国際空港(Lagos Murtala Muhammed)	https://www.prioritypass.com/ja/lounges/nigeria/lagos-murtala-muhammed
アフリカ	リーブルヴィル・レオン・ムバ国際空港(Libreville Leon Mba International)	https://www.prioritypass.com/ja/lounges/gabon/libreville-leon-mba-international
アフリカ	リビングストン国際空港(Livingstone International)	https://www.prioritypass.com/ja/lounges/zambia/livingstone-international
アフリカ	ルアンダ・クアトロ・デ・フェベレイロ空港(Luanda 4 De Fevereiro)	https://www.prioritypass.com/ja/lounges/angola/luanda-4-de-fevereiro
アフリカ	ルクソール国際空港(Luxor Intl)	https://www.prioritypass.com/ja/lounges/egypt/luxor-intl
アフリカ	ルサカ・ケネス・カウンダ国際空港(Lusaka Kenneth Kaunda Intl)	https://www.prioritypass.com/ja/lounges/zambia/lusaka-kenneth-kaunda-intl
アフリカ	ルブンバシ国際空港(Lubumbashi Luano International)	https://www.prioritypass.com/ja/lounges/democratic-republic-of-the-congo/lubumbashi-luano-international
アジア太平洋		https://www.prioritypass.com/ja/lounges/japan/saga
アジア太平洋	Chongqing Jiangbei Intl	https://www.prioritypass.com/ja/lounges/china/chongqing-jiangbei-intl
アジア太平洋	Guiyang North Railway Station	https://www.prioritypass.com/ja/lounges/china/guiyang-north-railway-station
アジア太平洋	Lianyungang Huaguoshan Intl	https://www.prioritypass.com/ja/lounges/china/lianyungang-huaguoshan-intl
アジア太平洋	Linfen Qiaoli	https://www.prioritypass.com/ja/lounges/china/linfen-qiaoli
